"task","model","weight_wall","day","run","latency","wall_zone","target_quadrant"
"fixed","place",NA,6,10,8.39880550333454,7.07608695652174,21.405138339921
"fixed","place",NA,7,10,7.197976430495,5.60344827586207,47.6185110059349
"fixed","place",NA,8,10,14.6494155733804,14.5073454661431,46.7758685988797
"fixed","place",NA,1,11,49.3490232074096,22.5111675529976,16.6371229473629
"fixed","place",NA,2,11,28.6761628491255,11.5320448534723,30.7570135538407
"fixed","place",NA,3,11,13.6299503110619,11.4711696168843,15.5523424168207
"fixed","place",NA,4,11,22.6142660196337,10.8049511195207,38.3505664542463
"fixed","place",NA,5,11,33.0389843400008,13.0205845336134,44.8731804568008
"fixed","place",NA,6,11,30.844366340226,8.83941029595359,63.9444845013252
"fixed","place",NA,7,11,12.6351527672499,4.83870967741935,51.0758092713738
"fixed","place",NA,8,11,12.0184043388054,8.59375,34.7095097559206
"fixed","place",NA,1,12,26.4619111313598,19.8974922673558,27.2639801491617
"fixed","place",NA,2,12,28.8546067266266,22.8453702541294,29.6222711003733
"fixed","place",NA,3,12,41.7508234709702,24.0602326019706,36.938434407413
"fixed","place",NA,4,12,22.7674618652915,17.4838348251632,33.2267341206425
"fixed","place",NA,5,12,29.7791079047082,13.3306669634375,63.8570533309627
"fixed","place",NA,6,12,21.5368001898785,1.09797297297297,51.8132984901278
"fixed","place",NA,7,12,12.1331842291903,13.3020236881324,41.5497729669429
"fixed","place",NA,8,12,7.7145497152075,0,54.6002904199625
"fixed","place",NA,1,13,35.9298603234232,23.738005132883,14.8084605321145
"fixed","place",NA,2,13,19.9790195804809,18.2714004032497,26.1448296956588
"fixed","place",NA,3,13,29.031150119226,11.7397331301652,29.1291760453057
"fixed","place",NA,4,13,27.7183497635604,5.72414143319356,49.0500408414068
"fixed","place",NA,5,13,36.0088830688764,10.0617049736974,51.7938116350154
"fixed","place",NA,6,13,13.5386218207443,7.22222222222222,39.1276984316959
"fixed","place",NA,7,13,28.4904063049035,0,59.1023377506802
"fixed","place",NA,8,13,36.2416691558557,14.2179924280632,33.0268133533279
"fixed","place",NA,1,14,34.5861999299441,36.9724814308315,15.3484548996173
"fixed","place",NA,2,14,32.8889104525561,9.9343624308769,31.1648785667377
"fixed","place",NA,3,14,26.1164813738578,9.18697970869227,48.611722103238
"fixed","place",NA,4,14,10.3517946500344,8.63844488844489,37.7969946719947
"fixed","place",NA,5,14,9.91598620345757,17.156862745098,46.0321600035895
"fixed","place",NA,6,14,18.1498413290447,27.0024676537282,34.7087622927959
"fixed","place",NA,7,14,10.2643841952023,0,47.5925373337693
"fixed","place",NA,8,14,19.5532883354605,8.48048327137547,40.3204508528045
"fixed","place",NA,1,15,46.6778241870943,18.1839917810778,7.90627626786215
"fixed","place",NA,2,15,38.5607495413196,9.09775821259767,23.6154213060129
"fixed","place",NA,3,15,15.9061838580387,32.5973360655738,24.7347708643815
"fixed","place",NA,4,15,39.3169515668846,6.86615616205249,81.2739693317203
"fixed","place",NA,5,15,22.5476886650969,12.8592551093099,38.952110349098
"fixed","place",NA,6,15,12.0295468473341,13.5901534526854,23.5803219642734
"fixed","place",NA,7,15,15.8025646261805,9.57247315309481,48.8467938575786
"fixed","place",NA,8,15,13.5799102981033,10.2983988355167,52.4046709295072
"fixed","place",NA,1,16,33.6035092686512,22.203486820399,16.219756141476
"fixed","place",NA,2,16,37.5374615576864,24.3664277187778,29.4690293336025
"fixed","place",NA,3,16,33.357416521036,7.28325838921369,49.8042578693324
"fixed","place",NA,4,16,28.8956799381787,9.34324717822082,43.7987469861174
"fixed","place",NA,5,16,11.9467092797112,22.7707188644689,29.9879807692308
"fixed","place",NA,6,16,18.8581269807719,22.5334335339845,25.8925354263025
"fixed","place",NA,7,16,12.5567672191004,28.0339105339105,30.331203188346
"fixed","place",NA,8,16,18.9360200023097,9.3944099378882,53.41011042098
"fixed","place",NA,1,17,41.4149812163254,20.6713044447573,27.2613562719783
"fixed","place",NA,2,17,32.0043245757977,21.3512719887493,12.9291685326168
"fixed","place",NA,3,17,33.5299726588585,14.8830710265814,30.4382523085459
"fixed","place",NA,4,17,26.6548263215602,5.07142857142857,46.6680982324879
